"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7"
"Pool 1",1,8,15,22,29,36,43
"Pool 2",2,9,16,23,30,37,44
"Pool 3",3,10,17,24,31,38,45
"Pool 4",4,11,18,25,32,39,46
"Pool 5",5,12,19,26,33,40,47
"Pool 6",6,13,20,27,34,41,48
"Pool 7",7,14,21,28,35,42,0
"Pool 8",1,14,20,26,32,38,44
"Pool 9",2,8,21,27,33,39,45
"Pool 10",3,9,15,28,34,40,46
"Pool 11",4,10,16,22,35,41,47
"Pool 12",5,11,17,23,29,42,48
"Pool 13",6,12,18,24,30,36,0
"Pool 14",7,13,19,25,31,37,43
"Pool 15",1,13,18,23,35,40,45
"Pool 16",2,14,19,24,29,41,46
"Pool 17",3,8,20,25,30,42,47
"Pool 18",4,9,21,26,31,36,48
"Pool 19",5,10,15,27,32,37,0
"Pool 20",6,11,16,28,33,38,43
"Pool 21",7,12,17,22,34,39,44
"Pool 22",1,12,16,27,31,42,46
"Pool 23",2,13,17,28,32,36,47
"Pool 24",3,14,18,22,33,37,48
"Pool 25",4,8,19,23,34,38,0
"Pool 26",5,9,20,24,35,39,43
"Pool 27",6,10,21,25,29,40,44
"Pool 28",7,11,15,26,30,41,45
