"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20"
"Pool 1",1,6,11,16,21,26,31,36,41,46,51,56,61,66,71,76,81,86,91,96
"Pool 2",2,7,12,17,22,27,32,37,42,47,52,57,62,67,72,77,82,87,92,0
"Pool 3",3,8,13,18,23,28,33,38,43,48,53,58,63,68,73,78,83,88,93,0
"Pool 4",4,9,14,19,24,29,34,39,44,49,54,59,64,69,74,79,84,89,94,0
"Pool 5",5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,0
"Pool 6",1,10,14,18,22,30,34,38,42,46,54,58,62,66,75,78,82,86,95,0
"Pool 7",2,6,15,19,23,26,35,39,43,47,55,59,63,67,71,79,83,87,91,0
"Pool 8",3,7,11,20,24,27,31,40,44,48,51,60,64,68,72,80,84,88,92,96
"Pool 9",4,8,12,16,25,28,32,36,45,49,52,56,65,69,73,76,85,89,93,0
"Pool 10",5,9,13,17,21,29,33,37,41,50,53,57,61,70,74,77,81,90,94,0
"Pool 11",1,9,12,20,23,27,35,38,41,49,53,56,64,67,75,79,82,90,93,96
"Pool 12",2,10,13,16,24,28,31,39,42,50,54,57,65,68,71,80,83,86,94,0
"Pool 13",3,6,14,17,25,29,32,40,43,46,55,58,61,69,72,76,84,87,95,0
"Pool 14",4,7,15,18,21,30,33,36,44,47,51,59,62,70,73,77,85,88,91,0
"Pool 15",5,8,11,19,22,26,34,37,45,48,52,60,63,66,74,78,81,89,92,0
