Kernel_ID,AF_Conc
801-1,117.6555492
801-10,0.710031031
801-11,0.894875632
801-12,0.748557897
801-13,0.726778981
801-14,0.918569495
801-15,0.940620427
801-16,0.216554743
801-17,0.849318385
801-18,1.113967802
801-19,73.93853038
801-2,0.572479122
801-20,1.803480674
801-21,1.20671458
801-22,1.031092432
801-23,0.523511577
801-24,0.475909074
801-25,1.039680489
801-26,1.519037539
801-27,1.210242547
801-28,1.571827943
801-29,1.279479974
801-3,0.548874368
801-30,1.272338849
801-31,1.47240582
801-32,0.753585388
801-33,1.718336159
801-34,1.785517444
801-35,1.843677142
801-36,1.431745413
801-37,1.549128958
801-38,1.259864273
801-39,1.474262254
801-4,0.564055452
801-40,1.324328519
801-41,2.607109408
801-42,126.0015534
801-43,8.200014202
801-44,123.7933283
801-45,107.1970954
801-46,4.233984759
801-47,117.6555492
801-48,4.245228312
801-5,0.663135648
801-6,0.251170847
801-7,0.686585768
801-8,0.187797335
801-9,0.342132555
