Kernel_ID,AF_Conc
HH-P1,93.24341446
HH-P2,89.36519516
HH-P3,38.39497031
HH-P4,0.758250676
HH-P5,95.52097675
HH-P6,1.166961388
HH-P7,92.56879448
HH-P8,97.5568566
HH-P9,40.87179035
HH-P10,1.371178726
HH-P11,76.63406502
HH-P12,79.97671054
HH-P13,0.611148805
HH-P14,18.0025318
HH-P15,85.16636467
HH-P16,17.59835432
HH-P17,100.9203002
HH-P18,1.913262515
HH-P19,1.356974791
HH-P20,1.644675417
HH-P21,83.82630972
HH-P22,93.24341446
HH-P23,88.00912205
HH-P24,1.243649083
HH-P25,17.65490975
HH-P26,1.738089652
HH-P27,69.65718011
HH-P28,37.48383347
