"","Kernel_ID","AF.ppb.","FM.ppm.","AF_class","FM_class"
"1","101-1",0.0181426,0.00240782,"L","L"
"2","101-10",0.664811,0.00240782,"L","L"
"3","101-11",0.664811,0.00240782,"L","L"
"4","101-12",0.664811,0.00240782,"L","L"
"5","101-13",0.664811,0.00240782,"L","L"
"6","101-14",0.664811,0.00240782,"L","L"
"7","101-15",0.664811,0.00240782,"L","L"
"8","101-16",0.664811,0.00240782,"L","L"
"9","101-17",0.4313059,0.00240782,"L","L"
"10","101-18",0.4313059,0.00240782,"L","L"
"11","101-19",0.4313059,0.00240782,"L","L"
"12","101-2",0.0181426,0.00240782,"L","L"
"13","101-20",0.4313059,0.00240782,"L","L"
"14","101-21",0.4313059,0.00240782,"L","L"
"15","101-22",0.4313059,0.00240782,"L","L"
"16","101-23",0.4313059,0.00240782,"L","L"
"17","101-24",0.4313059,0.00240782,"L","L"
"18","101-25",0.1758403,0.00240782,"L","L"
"19","101-26",0.1758403,0.00240782,"L","L"
"20","101-27",0.1758403,0.00240782,"L","L"
"21","101-28",0.1758403,0.00240782,"L","L"
"22","101-29",0.1758403,0.00240782,"L","L"
"23","101-3",0.0181426,0.00240782,"L","L"
"24","101-30",0.1758403,0.00240782,"L","L"
"25","101-31",0.1758403,0.00240782,"L","L"
"26","101-32",0.1758403,0.00240782,"L","L"
"27","101-33",0.7133804,0.00240782,"L","L"
"28","101-34",0.7133804,0.00240782,"L","L"
"29","101-35",0.7133804,0.00240782,"L","L"
"30","101-36",0.7133804,0.00240782,"L","L"
"31","101-37",0.7133804,0.00240782,"L","L"
"32","101-38",0.7133804,0.00240782,"L","L"
"33","101-39",0.7133804,0.00240782,"L","L"
"34","101-4",0.0181426,0.00240782,"L","L"
"35","101-40",0.7133804,0.00240782,"L","L"
"36","101-41",0.4553787,0.00240782,"L","L"
"37","101-42",0.4553787,0.00240782,"L","L"
"38","101-43",0.4553787,0.00240782,"L","L"
"39","101-44",0.4553787,0.00240782,"L","L"
"40","101-45",0.4553787,0.00240782,"L","L"
"41","101-46",0.4553787,0.00240782,"L","L"
"42","101-47",0.4553787,0.00240782,"L","L"
"43","101-48",0.4553787,0.00240782,"L","L"
"44","101-5",0.0181426,0.00240782,"L","L"
"45","101-6",0.0181426,0.00240782,"L","L"
"46","101-7",0.0181426,0.00240782,"L","L"
"47","101-8",0.0181426,0.00240782,"L","L"
"48","101-9",0.664811,0.00240782,"L","L"
"49","102-1",NA,NA,"L","L"
"50","102-10",NA,NA,"L","L"
"51","102-11",NA,NA,"L","L"
"52","102-12",NA,NA,"L","L"
"53","102-13",NA,NA,"L","L"
"54","102-14",NA,NA,"L","L"
"55","102-15",NA,NA,"L","L"
"56","102-16",NA,NA,"L","L"
"57","102-17",NA,NA,"L","L"
"58","102-18",NA,NA,"L","L"
"59","102-19",NA,NA,"L","L"
"60","102-2",NA,NA,"L","L"
"61","102-20",NA,NA,"L","L"
"62","102-21",NA,NA,"L","L"
"63","102-22",NA,NA,"L","L"
"64","102-23",NA,NA,"L","L"
"65","102-24",NA,NA,"L","L"
"66","102-25",NA,NA,"L","L"
"67","102-26",NA,NA,"L","L"
"68","102-27",NA,NA,"L","L"
"69","102-28",NA,NA,"L","L"
"70","102-29",NA,NA,"L","L"
"71","102-3",NA,NA,"L","L"
"72","102-30",NA,NA,"L","L"
"73","102-31",NA,NA,"L","L"
"74","102-32",NA,NA,"L","L"
"75","102-33",NA,NA,"L","L"
"76","102-34",NA,NA,"L","L"
"77","102-35",NA,NA,"L","L"
"78","102-36",NA,NA,"L","L"
"79","102-37",NA,NA,"L","L"
"80","102-38",NA,NA,"L","L"
"81","102-39",NA,NA,"L","L"
"82","102-4",NA,NA,"L","L"
"83","102-40",NA,NA,"L","L"
"84","102-41",NA,NA,"L","L"
"85","102-42",NA,NA,"L","L"
"86","102-43",NA,NA,"L","L"
"87","102-44",NA,NA,"L","L"
"88","102-45",NA,NA,"L","L"
"89","102-46",NA,NA,"L","L"
"90","102-47",NA,NA,"L","L"
"91","102-48",NA,NA,"L","L"
"92","102-5",NA,NA,"L","L"
"93","102-6",NA,NA,"L","L"
"94","102-7",NA,NA,"L","L"
"95","102-8",NA,NA,"L","L"
"96","102-9",NA,NA,"L","L"
"97","201-1",NA,0.4167406,"L","L"
"98","201-10",NA,0.1270994,"L","L"
"99","201-11",NA,0.1104192,"L","L"
"100","201-12",NA,0.1372555,"L","L"
"101","201-13",NA,44.69522,"L","H"
"102","201-14",NA,0.1023543,"L","L"
"103","201-15",NA,0.09700375,"L","L"
"104","201-16",NA,0.09700375,"L","L"
"105","201-17",NA,NA,"L","L"
"106","201-18",NA,NA,"L","L"
"107","201-19",NA,NA,"L","L"
"108","201-2",NA,0.3296671,"L","L"
"109","201-20",NA,NA,"L","L"
"110","201-21",NA,NA,"L","L"
"111","201-22",NA,NA,"L","L"
"112","201-23",NA,NA,"L","L"
"113","201-24",NA,NA,"L","L"
"114","201-25",NA,NA,"L","L"
"115","201-26",NA,NA,"L","L"
"116","201-27",NA,NA,"L","L"
"117","201-28",NA,NA,"L","L"
"118","201-29",NA,NA,"L","L"
"119","201-3",NA,0.2613043,"L","L"
"120","201-30",NA,NA,"L","L"
"121","201-31",NA,NA,"L","L"
"122","201-32",NA,NA,"L","L"
"123","201-33",NA,NA,"L","L"
"124","201-34",NA,NA,"L","L"
"125","201-35",NA,NA,"L","L"
"126","201-36",NA,NA,"L","L"
"127","201-37",NA,NA,"L","L"
"128","201-38",NA,NA,"L","L"
"129","201-39",NA,NA,"L","L"
"130","201-4",NA,0.0668732,"L","L"
"131","201-40",NA,NA,"L","L"
"132","201-41",NA,NA,"L","L"
"133","201-42",NA,NA,"L","L"
"134","201-43",NA,NA,"L","L"
"135","201-44",NA,NA,"L","L"
"136","201-45",NA,NA,"L","L"
"137","201-46",NA,NA,"L","L"
"138","201-47",NA,NA,"L","L"
"139","201-48",NA,NA,"L","L"
"140","201-5",NA,134.3388,"L","H"
"141","201-6",NA,0.4447903,"L","L"
"142","201-7",NA,0.2787129,"L","L"
"143","201-8",NA,0.1023543,"L","L"
"144","201-9",NA,0.2193535,"L","L"
"193","301-1",NA,753.6807,"L","H"
"194","301-10",NA,NA,"L","L"
"195","301-11",NA,0.08539563,"L","L"
"196","301-12",NA,NA,"L","L"
"197","301-13",NA,0.08539563,"L","L"
"198","301-14",NA,0.08539563,"L","L"
"199","301-15",NA,NA,"L","L"
"200","301-16",NA,0.08539563,"L","L"
"201","301-17",NA,NA,"L","L"
"202","301-18",NA,NA,"L","L"
"203","301-19",NA,22.67154,"L","H"
"204","301-2",NA,73.3322,"L","H"
"205","301-20",NA,39.78816,"L","H"
"206","301-21",NA,0.08539563,"L","L"
"207","301-22",NA,NA,"L","L"
"208","301-23",NA,0.08539563,"L","L"
"209","301-24",NA,NA,"L","L"
