"","Kernel_ID","AF.ppb.","FM.ppm.","plate","kernel","<LOD.AF","<LOD.FM","AF_class","FM_class"
"1","101-1",1.161126159,0.3852512,101,1,1,1,"L","L"
"2","101-2",1.161126159,0.3852512,101,2,1,1,"L","L"
"3","101-3",1.161126159,0.3852512,101,3,1,1,"L","L"
"4","101-4",1.161126159,0.3852512,101,4,1,1,"L","L"
"5","101-5",1.161126159,0.3852512,101,5,1,1,"L","L"
"6","101-6",1.161126159,0.3852512,101,6,1,1,"L","L"
"7","101-7",1.161126159,0.3852512,101,7,1,1,"L","L"
"8","101-8",1.161126159,0.3852512,101,8,1,1,"L","L"
"9","101-9",5.318487931,0.3852512,101,9,1,1,"L","L"
"10","101-10",5.318487931,0.3852512,101,10,1,1,"L","L"
"11","101-11",5.318487931,0.3852512,101,11,1,1,"L","L"
"12","101-12",5.318487931,0.3852512,101,12,1,1,"L","L"
"13","101-13",5.318487931,0.3852512,101,13,1,1,"L","L"
"14","101-14",5.318487931,0.3852512,101,14,1,1,"L","L"
"15","101-15",5.318487931,0.3852512,101,15,1,1,"L","L"
"16","101-16",5.318487931,0.3852512,101,16,1,1,"L","L"
"17","101-17",3.45044756,0.3852512,101,17,1,1,"L","L"
"18","101-18",3.45044756,0.3852512,101,18,1,1,"L","L"
"19","101-19",3.45044756,0.3852512,101,19,1,1,"L","L"
"20","101-20",3.45044756,0.3852512,101,20,1,1,"L","L"
"21","101-21",3.45044756,0.3852512,101,21,1,1,"L","L"
"22","101-22",3.45044756,0.3852512,101,22,1,1,"L","L"
"23","101-23",3.45044756,0.3852512,101,23,1,1,"L","L"
"24","101-24",3.45044756,0.3852512,101,24,1,1,"L","L"
"25","101-25",1.406722408,0.3852512,101,25,1,1,"L","L"
"26","101-26",1.406722408,0.3852512,101,26,1,1,"L","L"
"27","101-27",1.406722408,0.3852512,101,27,1,1,"L","L"
"28","101-28",1.406722408,0.3852512,101,28,1,1,"L","L"
"29","101-29",1.406722408,0.3852512,101,29,1,1,"L","L"
"30","101-30",1.406722408,0.3852512,101,30,1,1,"L","L"
"31","101-31",1.406722408,0.3852512,101,31,1,1,"L","L"
"32","101-32",1.406722408,0.3852512,101,32,1,1,"L","L"
"33","101-33",5.707043324,0.3852512,101,33,1,1,"L","L"
"34","101-34",5.707043324,0.3852512,101,34,1,1,"L","L"
"35","101-35",5.707043324,0.3852512,101,35,1,1,"L","L"
"36","101-36",5.707043324,0.3852512,101,36,1,1,"L","L"
"37","101-37",5.707043324,0.3852512,101,37,1,1,"L","L"
"38","101-38",5.707043324,0.3852512,101,38,1,1,"L","L"
"39","101-39",5.707043324,0.3852512,101,39,1,1,"L","L"
"40","101-40",5.707043324,0.3852512,101,40,1,1,"L","L"
"41","101-41",3.643029605,0.3852512,101,41,1,1,"L","L"
"42","101-42",3.643029605,0.3852512,101,42,1,1,"L","L"
"43","101-43",3.643029605,0.3852512,101,43,1,1,"L","L"
"44","101-44",3.643029605,0.3852512,101,44,1,1,"L","L"
"45","101-45",3.643029605,0.3852512,101,45,1,1,"L","L"
"46","101-46",3.643029605,0.3852512,101,46,1,1,"L","L"
"47","101-47",3.643029605,0.3852512,101,47,1,1,"L","L"
"48","101-48",3.643029605,0.3852512,101,48,1,1,"L","L"
"49","102-1",4.92711325,0.091535142,102,1,0,1,"L","L"
"50","102-2",4.92711325,0.091535142,102,2,0,1,"L","L"
"51","102-3",4.92711325,0.091535142,102,3,0,1,"L","L"
"52","102-4",4.92711325,0.091535142,102,4,0,1,"L","L"
"53","102-5",4.92711325,0.091535142,102,5,0,1,"L","L"
"54","102-6",4.92711325,0.091535142,102,6,0,1,"L","L"
